ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONSUNTIVO
2008;01001;Genova - Università degli studi;08 ;Altro da studenti, non costituente gettito;208868
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;9980902
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Gettito relativo a corsi di dottorato;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;Gettito relativo a corsi di specializzazione;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";04 ;Gettito relativo a corsi di perfezionamento e master;1490276
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";04a;Gettito relativo ad altri corsi;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";05 ;Tassa regionale per il DSU (se riscossa da università);198000
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;145593
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";07 ;Altre entrate non necessarie per l'iscrizione;126208
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";08 ;Altro da studenti, non costituente gettito;35015
2008;01202;Varese - Università dell' Insubria;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;10550766
2008;01202;Varese - Università dell' Insubria;02 ;Gettito relativo a corsi di dottorato;24044
2008;01202;Varese - Università dell' Insubria;03 ;Gettito relativo a corsi di specializzazione;523058
2008;01202;Varese - Università dell' Insubria;04 ;Gettito relativo a corsi di perfezionamento e master;90991
2008;01202;Varese - Università dell' Insubria;04a;Gettito relativo ad altri corsi;10680
2008;01202;Varese - Università dell' Insubria;05 ;Tassa regionale per il DSU (se riscossa da università);974600
2008;01202;Varese - Università dell' Insubria;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;58550
2008;01202;Varese - Università dell' Insubria;07 ;Altre entrate non necessarie per l'iscrizione;1310915
2008;01202;Varese - Università dell' Insubria;08 ;Altro da studenti, non costituente gettito;0
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;2996489
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Gettito relativo a corsi di dottorato;0
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03 ;Gettito relativo a corsi di specializzazione;0
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";04 ;Gettito relativo a corsi di perfezionamento e master;94800
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";04a;Gettito relativo ad altri corsi;0
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";05 ;Tassa regionale per il DSU (se riscossa da università);120000
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";07 ;Altre entrate non necessarie per l'iscrizione;1300
2008;01301;"Novedrate (CO) - Università telematica ""e-Campus""";08 ;Altro da studenti, non costituente gettito;1400
2008;01501;Milano - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;79329061
2008;01501;Milano - Università degli studi;02 ;Gettito relativo a corsi di dottorato;284653
2008;01501;Milano - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;4819284
2008;01501;Milano - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;1819845
2008;01501;Milano - Università degli studi;04a;Gettito relativo ad altri corsi;0
2008;01501;Milano - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);6154156
2008;01501;Milano - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;340000
2008;01501;Milano - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;6377226
2008;01501;Milano - Università degli studi;08 ;Altro da studenti, non costituente gettito;1274288
2008;01502;Milano - Politecnico;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;47958201
2008;01502;Milano - Politecnico;02 ;Gettito relativo a corsi di dottorato;1570214
2008;01502;Milano - Politecnico;03 ;Gettito relativo a corsi di specializzazione;277345
2008;01502;Milano - Politecnico;04 ;Gettito relativo a corsi di perfezionamento e master;1525117
2008;01502;Milano - Politecnico;04a;Gettito relativo ad altri corsi;-119757
2008;01502;Milano - Politecnico;05 ;Tassa regionale per il DSU (se riscossa da università);3838100
2008;01502;Milano - Politecnico;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;01502;Milano - Politecnico;07 ;Altre entrate non necessarie per l'iscrizione;0
2008;01502;Milano - Politecnico;08 ;Altro da studenti, non costituente gettito;439550
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;96782165
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Gettito relativo a corsi di dottorato;42919
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";03 ;Gettito relativo a corsi di specializzazione;79068
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";04 ;Gettito relativo a corsi di perfezionamento e master;18267745
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";04a;Gettito relativo ad altri corsi;25132066
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";05 ;Tassa regionale per il DSU (se riscossa da università);1305900
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;794820
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";07 ;Altre entrate non necessarie per l'iscrizione;561796
2008;01503;"Milano - Università commerciale ""Luigi Bocconi""";08 ;Altro da studenti, non costituente gettito;140995
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;146890091
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Gettito relativo a corsi di dottorato;403565
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03 ;Gettito relativo a corsi di specializzazione;4171731
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";04 ;Gettito relativo a corsi di perfezionamento e master;5466482
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";04a;Gettito relativo ad altri corsi;897297
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";05 ;Tassa regionale per il DSU (se riscossa da università);3862300
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;281746
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";07 ;Altre entrate non necessarie per l'iscrizione;2738102
2008;01504;"Milano - Università Cattolica del ""Sacro Cuore""";08 ;Altro da studenti, non costituente gettito;605253
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;24431599
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Gettito relativo a corsi di dottorato;53200
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03 ;Gettito relativo a corsi di specializzazione;0
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);04 ;Gettito relativo a corsi di perfezionamento e master;1251232
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);04a;Gettito relativo ad altri corsi;0
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);05 ;Tassa regionale per il DSU (se riscossa da università);506075
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);07 ;Altre entrate non necessarie per l'iscrizione;152247
2008;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);08 ;Altro da studenti, non costituente gettito;0
2008;01508;Milano - Università Vita-Salute San Raffaele;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;11410311
2008;01508;Milano - Università Vita-Salute San Raffaele;02 ;Gettito relativo a corsi di dottorato;16885
2008;01508;Milano - Università Vita-Salute San Raffaele;03 ;Gettito relativo a corsi di specializzazione;472849
2008;01508;Milano - Università Vita-Salute San Raffaele;04 ;Gettito relativo a corsi di perfezionamento e master;392781
2008;01508;Milano - Università Vita-Salute San Raffaele;04a;Gettito relativo ad altri corsi;1450
2008;01508;Milano - Università Vita-Salute San Raffaele;05 ;Tassa regionale per il DSU (se riscossa da università);224460
2008;01508;Milano - Università Vita-Salute San Raffaele;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;46100
2008;01508;Milano - Università Vita-Salute San Raffaele;07 ;Altre entrate non necessarie per l'iscrizione;456599
2008;01508;Milano - Università Vita-Salute San Raffaele;08 ;Altro da studenti, non costituente gettito;70112
2008;01509;Milano-Bicocca - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;30312285
2008;01509;Milano-Bicocca - Università degli studi;02 ;Gettito relativo a corsi di dottorato;132275
2008;01509;Milano-Bicocca - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;751879
2008;01509;Milano-Bicocca - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;1005526
2008;01509;Milano-Bicocca - Università degli studi;04a;Gettito relativo ad altri corsi;114735
2008;01509;Milano-Bicocca - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);3085300
2008;01509;Milano-Bicocca - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;559103
2008;01509;Milano-Bicocca - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;348185
2008;01509;Milano-Bicocca - Università degli studi;08 ;Altro da studenti, non costituente gettito;757395
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;142000
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";02 ;Gettito relativo a corsi di dottorato;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";03 ;Gettito relativo a corsi di specializzazione;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";04 ;Gettito relativo a corsi di perfezionamento e master;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";04a;Gettito relativo ad altri corsi;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";05 ;Tassa regionale per il DSU (se riscossa da università);0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";07 ;Altre entrate non necessarie per l'iscrizione;0
2008;01510;"Milano - Università telematica internazionale ""UNITEL""";08 ;Altro da studenti, non costituente gettito;0
2008;01601;Bergamo - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;11406386
